#roi_key,roi_name,roi_latitudes,roi_longitudes_east
JUICE_ROI_GAN_6_3_10,Sippar Sulcus,[-26. -26. -17. -17.],[171. 182. 182. 171.]
JUICE_ROI_GAN_6_3_11,Phrygia Sulcus Ii,[ 2.  2. 15. 15.],[310. 320. 320. 310.]
JUICE_ROI_GAN_6_3_12,None,[-27. -27. -14. -14.],[188. 200. 200. 188.]
JUICE_ROI_GAN_7_0_01,None,[-30. -30. -23. -23.],[215. 224. 224. 215.]
JUICE_ROI_GAN_7_0_02,Perrine Regio I,[21. 21. 31. 31.],[340. 348. 348. 340.]
JUICE_ROI_GAN_7_0_03,Perrine Regio Ii,[42. 42. 48. 48.],[346. 358. 358. 346.]
JUICE_ROI_GAN_7_0_04,Marius Regio I,[-7. -7.  0.  0.],[182. 191. 191. 182.]
JUICE_ROI_GAN_7_0_05,Nicholson Regio I,[-22. -22. -15. -15.],[24. 35. 35. 24.]
JUICE_ROI_GAN_7_0_06,Melotte Regio,[ 5.  5. 14. 14.],[ 92. 102. 102.  92.]
JUICE_ROI_GAN_7_0_07,Galileo Regio,[30. 30. 45. 45.],[185. 200. 200. 185.]
JUICE_ROI_GAN_7_0_08,Nicholson Regio Ii,[-45. -45. -35. -35.],[310. 325. 325. 310.]
JUICE_ROI_GAN_7_0_09,Marius Regio Ii,[-1. -1.  9.  9.],[161. 172. 172. 161.]
